accrued_interest,asset_id,book_value,category,classification,coupon_rate,currency,current_rate,duration_years,end_of_period_balance,face_value,fair_value,institution,internal_rating,lgd,maturity_date,npl_flag,origination_date,pd_annualized,principal_outstanding,rate,rate_index,rate_type,rating,segment,spread_bps,type
,S008,402933.54,security,HTM,4.37,USD,,4.01,402933.54,413510.98,405102.59,,,,2028-08-10,,,,,,,,AAA,,,UST
,S009,292404.70,security,HTM,3.40,USD,,2.07,292404.70,284786.16,293700.14,,,,2027-08-20,,,,,,,,AAA,,,Agency
,S010,771996.58,security,AFS,1.34,USD,,3.59,771996.58,743308.53,775315.80,,,,2027-02-26,,,,,,,,AA,,,Corp
,S011,400746.56,security,AFS,2.06,USD,,3.09,400746.56,409280.42,410212.86,,,,2031-02-15,,,,,,,,A,,,UST
,S012,254877.83,security,AFS,2.75,USD,,0.64,254877.83,243765.82,256376.20,,,,2027-09-26,,,,,,,,AA,,,UST
,S013,257252.98,security,AFS,3.35,USD,,6.39,257252.98,250279.93,252200.41,,,,2034-04-26,,,,,,,,A,,,Corp
,S014,706363.55,security,AFS,1.28,USD,,5.20,706363.55,709134.89,700642.17,,,,2033-11-18,,,,,,,,BBB,,,Agency
,S015,560542.90,security,AFS,1.97,USD,,3.30,560542.90,537949.14,562588.12,,,,2030-12-11,,,,,,,,BBB,,,UST
,S016,682216.81,security,AFS,2.64,USD,,5.23,682216.81,652241.07,698038.67,,,,2026-12-26,,,,,,,,AAA,,,Corp
,S017,635918.73,security,HTM,1.99,USD,,3.51,635918.73,615791.14,629248.23,,,,2031-05-30,,,,,,,,AAA,,,UST
,S018,520166.06,security,AFS,2.77,USD,,4.01,520166.06,528080.12,532164.97,,,,2032-07-20,,,,,,,,AAA,,,UST
,S019,781509.47,security,HTM,4.88,USD,,1.89,781509.47,780387.31,802077.51,,,,2029-01-11,,,,,,,,BBB,,,UST
,S020,425834.70,security,HTM,4.61,USD,,5.60,425834.70,443997.32,420823.42,,,,2026-05-27,,,,,,,,A,,,Agency
,S021,529625.02,security,HTM,2.69,USD,,2.43,529625.02,511342.20,544383.49,,,,2035-03-01,,,,,,,,AAA,,,Corp
,S022,695542.41,security,AFS,3.32,USD,,3.60,695542.41,664252.90,700487.55,,,,2034-10-07,,,,,,,,AA,,,Agency
,S023,569392.41,security,AFS,1.23,USD,,2.03,569392.41,579368.88,572462.25,,,,2028-06-18,,,,,,,,AAA,,,UST
,S024,714865.40,security,AFS,4.77,USD,,3.22,714865.40,723399.57,720930.15,,,,2032-11-14,,,,,,,,A,,,Corp
,S025,544766.21,security,AFS,4.74,USD,,1.35,544766.21,531997.68,539434.56,,,,2034-05-30,,,,,,,,A,,,Agency
,S026,620868.21,security,HTM,2.83,USD,,4.16,620868.21,628390.60,637290.74,,,,2027-03-12,,,,,,,,AAA,,,UST
,S027,226809.71,security,HTM,1.29,USD,,6.22,226809.71,235448.08,224690.79,,,,2029-05-09,,,,,,,,A,,,UST
,S028,335725.15,security,HTM,2.14,USD,,6.92,335725.15,339474.45,336366.13,,,,2032-06-21,,,,,,,,AAA,,,Corp
,S029,372507.88,security,AFS,3.67,USD,,6.28,372507.88,363734.05,375387.41,,,,2033-10-26,,,,,,,,AA,,,UST
,S030,247128.91,security,AFS,2.09,USD,,6.04,247128.91,251762.51,249659.88,,,,2034-06-05,,,,,,,,BBB,,,Agency
,S031,338651.88,security,HTM,2.00,USD,,0.79,338651.88,349805.31,347256.33,,,,2026-12-13,,,,,,,,A,,,UST
,S032,259816.27,security,HTM,4.08,USD,,3.28,259816.27,261159.01,262896.57,,,,2029-04-25,,,,,,,,AAA,,,UST
,S033,365679.89,security,AFS,1.45,USD,,4.29,365679.89,377915.36,375645.60,,,,2034-02-16,,,,,,,,AA,,,UST
,S034,579660.22,security,HTM,2.72,USD,,2.12,579660.22,562854.51,569279.34,,,,2030-06-20,,,,,,,,AAA,,,UST
,S035,417638.13,security,AFS,2.41,USD,,2.04,417638.13,435419.65,420976.80,,,,2030-12-08,,,,,,,,AA,,,Corp
,S036,420837.74,security,AFS,4.90,USD,,2.66,420837.74,430793.27,429481.15,,,,2031-01-01,,,,,,,,BBB,,,UST
,S037,324723.62,security,HTM,4.21,USD,,5.06,324723.62,313656.97,332258.25,,,,2035-06-21,,,,,,,,BBB,,,UST
,S038,359102.28,security,HTM,4.49,USD,,5.83,359102.28,353703.48,367336.37,,,,2028-11-15,,,,,,,,AA,,,UST
,S039,759698.62,security,HTM,1.89,USD,,6.78,759698.62,787378.46,769575.96,,,,2030-11-06,,,,,,,,A,,,Agency
,S040,587048.47,security,HTM,2.40,USD,,1.25,587048.47,612833.82,590259.79,,,,2033-12-31,,,,,,,,A,,,Corp
,S041,563776.12,security,AFS,1.71,USD,,2.75,563776.12,569220.58,579633.29,,,,2029-05-10,,,,,,,,A,,,UST
,S042,301771.90,security,AFS,2.75,USD,,5.11,301771.90,294370.11,310587.20,,,,2027-09-04,,,,,,,,AAA,,,Agency
,S043,635556.83,security,AFS,3.08,USD,,0.95,635556.83,626927.33,648474.87,,,,2034-01-30,,,,,,,,A,,,Corp
,S044,297144.18,security,HTM,3.49,USD,,4.83,297144.18,297355.82,301057.38,,,,2027-10-11,,,,,,,,A,,,Corp
,S045,426385.67,security,HTM,2.61,USD,,2.96,426385.67,433418.02,424161.11,,,,2027-10-22,,,,,,,,AA,,,UST
,S046,791324.38,security,HTM,3.46,USD,,3.29,791324.38,774462.34,787405.34,,,,2032-07-10,,,,,,,,A,,,UST
,S047,582241.61,security,HTM,2.86,USD,,6.74,582241.61,599344.11,583468.97,,,,2028-10-10,,,,,,,,AA,,,Corp
,S048,532561.62,security,HTM,3.64,USD,,6.69,532561.62,510906.98,529467.07,,,,2033-10-28,,,,,,,,AA,,,Corp
,S049,608929.71,security,AFS,3.69,USD,,6.90,608929.71,581297.32,603590.63,,,,2028-08-11,,,,,,,,AAA,,,UST
,S050,703586.45,security,HTM,2.82,USD,,2.09,703586.45,703190.84,720688.42,,,,2032-10-31,,,,,,,,AAA,,,UST
512.10,L0001,,loan,,,USD,5.60,,512099.62,,,,4,0.59,2033-06-30,0,2024-09-05,1.62,512099.62,,Prime,fixed,,consumer,327,
497.94,L0002,,loan,,,USD,4.12,,497941.69,,,,3,0.37,2034-10-29,1,2019-08-08,0.90,497941.69,,Treasury,variable,,mortgage,171,
508.94,L0003,,loan,,,USD,5.44,,508938.13,,,,8,0.24,2033-04-28,0,2023-09-27,1.49,508938.13,,Prime,fixed,,consumer,132,
461.90,L0004,,loan,,,USD,3.83,,461900.02,,,,4,0.39,2027-09-19,0,2024-02-18,2.09,461900.02,,SOFR,variable,,auto,113,
216.01,L0005,,loan,,,USD,6.25,,216007.19,,,,10,0.41,2035-10-02,1,2020-10-02,2.35,216007.19,,Prime,variable,,SME,293,
473.19,L0006,,loan,,,USD,5.57,,473188.60,,,,2,0.40,2027-07-24,0,2018-10-16,2.25,473188.60,,Prime,fixed,,auto,236,
425.64,L0007,,loan,,,USD,4.04,,425643.71,,,,4,0.18,2027-09-23,0,2020-07-15,1.28,425643.71,,SOFR,variable,,CRE,202,
323.98,L0008,,loan,,,USD,5.85,,323977.63,,,,2,0.14,2031-12-23,0,2016-12-21,0.78,323977.63,,Prime,fixed,,consumer,224,
364.78,L0009,,loan,,,USD,5.79,,364780.79,,,,2,0.14,2028-06-24,1,2019-02-18,0.58,364780.79,,Prime,variable,,consumer,156,
523.00,L0010,,loan,,,USD,5.95,,523001.83,,,,6,0.35,2029-12-09,0,2019-02-06,1.53,523001.83,,Prime,fixed,,mortgage,235,
173.17,L0011,,loan,,,USD,2.70,,173170.98,,,,1,0.52,2034-06-12,0,2017-03-25,1.77,173170.98,,Treasury,variable,,mortgage,93,
178.44,L0012,,loan,,,USD,6.26,,178435.51,,,,8,0.56,2031-11-05,0,2020-12-01,0.63,178435.51,,SOFR,variable,,CRE,320,
324.02,L0013,,loan,,,USD,5.39,,324018.65,,,,7,0.15,2034-05-26,0,2018-01-10,0.57,324018.65,,Prime,variable,,SME,289,
353.24,L0014,,loan,,,USD,4.88,,353235.39,,,,9,0.26,2029-09-18,1,2016-02-09,2.91,353235.39,,Treasury,fixed,,SME,312,
365.45,L0015,,loan,,,USD,4.57,,365448.50,,,,5,0.28,2032-09-12,0,2017-04-14,2.29,365448.50,,SOFR,fixed,,SME,291,
259.27,L0016,,loan,,,USD,5.08,,259271.53,,,,3,0.34,2034-09-19,0,2016-11-04,0.18,259271.53,,Treasury,fixed,,CRE,227,
451.72,L0017,,loan,,,USD,4.03,,451718.39,,,,3,0.21,2027-12-06,1,2020-08-18,2.54,451718.39,,Treasury,fixed,,mortgage,87,
314.32,L0018,,loan,,,USD,5.32,,314320.64,,,,3,0.31,2029-12-13,1,2023-01-27,1.50,314320.64,,Treasury,variable,,SME,229,
477.98,L0019,,loan,,,USD,6.04,,477976.85,,,,9,0.47,2032-08-01,0,2022-09-16,0.50,477976.85,,Prime,variable,,mortgage,177,
511.82,L0020,,loan,,,USD,3.16,,511818.60,,,,9,0.52,2030-03-26,1,2016-02-07,1.78,511818.60,,Prime,fixed,,SME,81,
307.36,L0021,,loan,,,USD,5.06,,307363.38,,,,4,0.37,2035-06-10,1,2016-01-21,1.42,307363.38,,Treasury,fixed,,consumer,256,
518.34,L0022,,loan,,,USD,6.06,,518337.21,,,,1,0.12,2031-06-29,0,2021-06-23,2.26,518337.21,,Prime,fixed,,SME,199,
315.79,L0023,,loan,,,USD,7.77,,315788.40,,,,3,0.53,2030-08-10,1,2024-09-08,2.64,315788.40,,SOFR,variable,,SME,337,
189.78,L0024,,loan,,,USD,3.31,,189780.92,,,,9,0.58,2035-08-26,1,2018-07-09,1.08,189780.92,,Prime,fixed,,SME,159,
498.40,L0025,,loan,,,USD,5.80,,498404.99,,,,5,0.34,2035-05-27,0,2025-01-14,1.67,498404.99,,Treasury,fixed,,CRE,242,
317.61,L0026,,loan,,,USD,4.06,,317614.71,,,,5,0.48,2027-12-28,0,2020-10-30,2.14,317614.71,,Treasury,fixed,,mortgage,126,
450.19,L0027,,loan,,,USD,3.50,,450192.17,,,,3,0.25,2027-07-07,0,2023-01-25,1.19,450192.17,,Treasury,variable,,auto,103,
488.90,L0028,,loan,,,USD,3.43,,488899.35,,,,5,0.41,2031-03-05,1,2024-03-14,0.80,488899.35,,Prime,fixed,,CRE,169,
241.70,L0029,,loan,,,USD,5.60,,241700.44,,,,10,0.55,2032-02-07,0,2024-12-23,2.07,241700.44,,Prime,variable,,auto,210,
461.57,L0030,,loan,,,USD,6.54,,461572.40,,,,4,0.52,2032-01-04,1,2016-03-27,0.68,461572.40,,SOFR,variable,,SME,297,
332.79,L0031,,loan,,,USD,5.85,,332786.83,,,,1,0.25,2034-09-23,1,2022-09-23,2.94,332786.83,,Treasury,fixed,,SME,263,
224.97,L0032,,loan,,,USD,6.09,,224973.53,,,,3,0.40,2029-06-19,0,2018-11-04,1.12,224973.53,,Treasury,variable,,auto,226,
313.13,L0033,,loan,,,USD,3.43,,313133.83,,,,7,0.12,2031-10-30,0,2024-10-17,1.16,313133.83,,Prime,variable,,auto,100,
433.39,L0034,,loan,,,USD,3.72,,433392.12,,,,8,0.54,2032-12-07,0,2022-10-01,1.16,433392.12,,Prime,fixed,,CRE,182,
222.89,L0035,,loan,,,USD,6.44,,222885.26,,,,6,0.58,2032-02-20,0,2016-02-28,0.51,222885.26,,Treasury,variable,,auto,253,
267.42,L0036,,loan,,,USD,4.36,,267422.67,,,,6,0.16,2032-11-25,0,2019-04-02,1.17,267422.67,,Treasury,variable,,consumer,282,
512.26,L0037,,loan,,,USD,4.90,,512260.89,,,,8,0.54,2033-10-31,0,2023-04-29,1.73,512260.89,,Treasury,fixed,,CRE,199,
155.25,L0038,,loan,,,USD,4.74,,155250.84,,,,9,0.57,2027-05-24,0,2024-07-03,0.98,155250.84,,SOFR,fixed,,SME,289,
186.12,L0039,,loan,,,USD,5.64,,186121.72,,,,2,0.57,2034-05-28,1,2021-02-08,2.12,186121.72,,Prime,fixed,,CRE,278,
288.16,L0040,,loan,,,USD,7.20,,288158.13,,,,2,0.12,2030-01-08,0,2020-10-26,1.17,288158.13,,Prime,fixed,,SME,288,
186.99,L0041,,loan,,,USD,4.31,,186989.42,,,,10,0.19,2029-12-24,0,2024-10-11,0.45,186989.42,,Treasury,fixed,,SME,263,
213.86,L0042,,loan,,,USD,4.91,,213859.17,,,,4,0.59,2029-08-13,0,2025-01-13,2.38,213859.17,,Treasury,fixed,,auto,105,
302.15,L0043,,loan,,,USD,6.30,,302146.15,,,,2,0.55,2035-09-24,0,2024-05-07,0.11,302146.15,,SOFR,variable,,auto,248,
265.24,L0044,,loan,,,USD,3.01,,265240.42,,,,3,0.49,2035-09-29,1,2023-11-08,1.81,265240.42,,SOFR,variable,,mortgage,147,
324.58,L0045,,loan,,,USD,5.33,,324581.59,,,,9,0.34,2027-08-07,0,2019-02-24,2.36,324581.59,,Prime,fixed,,CRE,349,
147.20,L0046,,loan,,,USD,4.70,,147204.12,,,,7,0.36,2034-04-10,0,2025-02-14,1.43,147204.12,,Prime,variable,,mortgage,102,
485.84,L0047,,loan,,,USD,6.95,,485835.81,,,,5,0.14,2031-11-10,0,2024-02-22,0.33,485835.81,,SOFR,fixed,,CRE,331,
290.99,L0048,,loan,,,USD,7.23,,290988.69,,,,9,0.25,2032-11-01,0,2024-09-10,1.57,290988.69,,Treasury,fixed,,SME,275,
458.11,L0049,,loan,,,USD,5.85,,458110.15,,,,7,0.31,2029-06-12,0,2021-02-21,2.50,458110.15,,Prime,fixed,,SME,300,
535.57,L0050,,loan,,,USD,4.72,,535565.86,,,,7,0.44,2028-08-06,0,2016-06-24,1.48,535565.86,,SOFR,fixed,,mortgage,210,
128.43,L0051,,loan,,,USD,6.64,,128425.86,,,,6,0.13,2033-02-14,1,2022-02-09,2.87,128425.86,,Prime,fixed,,CRE,270,
506.83,L0052,,loan,,,USD,5.47,,506825.14,,,,8,0.26,2033-08-14,0,2023-06-03,0.40,506825.14,,Treasury,fixed,,CRE,106,
372.82,L0053,,loan,,,USD,3.90,,372815.47,,,,10,0.28,2033-02-14,0,2023-04-09,2.31,372815.47,,Treasury,variable,,CRE,135,
329.44,L0054,,loan,,,USD,3.75,,329439.61,,,,3,0.45,2029-12-13,1,2021-11-14,1.00,329439.61,,SOFR,fixed,,consumer,216,
534.11,L0055,,loan,,,USD,3.08,,534106.80,,,,8,0.59,2033-12-26,0,2023-05-24,0.37,534106.80,,Prime,variable,,CRE,115,
251.06,L0056,,loan,,,USD,4.21,,251060.75,,,,3,0.26,2034-12-23,0,2024-11-08,2.83,251060.75,,SOFR,fixed,,CRE,160,
291.21,L0057,,loan,,,USD,3.53,,291212.72,,,,2,0.31,2034-04-23,0,2022-09-29,1.86,291212.72,,Treasury,fixed,,SME,121,
511.65,L0058,,loan,,,USD,4.83,,511652.16,,,,10,0.44,2034-06-28,0,2025-04-18,1.51,511652.16,,Prime,fixed,,consumer,300,
487.08,L0059,,loan,,,USD,2.94,,487082.68,,,,8,0.48,2029-04-03,1,2022-02-16,2.32,487082.68,,SOFR,fixed,,consumer,83,
356.35,L0060,,loan,,,USD,3.58,,356350.33,,,,1,0.45,2032-11-09,1,2024-12-30,1.55,356350.33,,Treasury,variable,,consumer,169,
442.66,L0061,,loan,,,USD,3.77,,442659.23,,,,2,0.53,2027-10-04,1,2021-04-09,1.77,442659.23,,Prime,variable,,CRE,89,
471.32,L0062,,loan,,,USD,5.30,,471324.70,,,,4,0.50,2028-10-23,1,2024-10-26,1.89,471324.70,,SOFR,variable,,consumer,90,
514.36,L0063,,loan,,,USD,5.92,,514363.33,,,,9,0.54,2031-04-29,0,2022-01-26,2.26,514363.33,,SOFR,fixed,,auto,285,
334.38,L0064,,loan,,,USD,5.49,,334383.03,,,,5,0.27,2035-08-04,0,2023-02-27,2.21,334383.03,,SOFR,fixed,,auto,341,
239.78,L0065,,loan,,,USD,4.99,,239777.50,,,,10,0.48,2035-05-30,0,2020-08-08,0.32,239777.50,,Treasury,variable,,SME,168,
333.25,L0066,,loan,,,USD,4.36,,333246.02,,,,9,0.33,2027-08-26,0,2019-03-05,1.93,333246.02,,Prime,fixed,,consumer,241,
290.72,L0067,,loan,,,USD,5.27,,290716.42,,,,10,0.13,2027-04-23,1,2018-07-30,2.51,290716.42,,Treasury,fixed,,mortgage,238,
413.76,L0068,,loan,,,USD,6.40,,413762.48,,,,10,0.47,2035-10-07,1,2018-07-01,0.22,413762.48,,Prime,fixed,,CRE,316,
470.57,L0069,,loan,,,USD,5.31,,470566.32,,,,3,0.33,2027-07-31,0,2017-10-18,2.45,470566.32,,Treasury,fixed,,consumer,336,
438.07,L0070,,loan,,,USD,5.68,,438066.07,,,,7,0.36,2031-10-24,0,2021-08-16,1.87,438066.07,,Prime,variable,,consumer,206,
489.18,L0071,,loan,,,USD,4.93,,489181.81,,,,5,0.27,2034-02-22,0,2018-03-14,1.06,489181.81,,Prime,variable,,CRE,106,
523.91,L0072,,loan,,,USD,4.24,,523912.14,,,,9,0.17,2034-04-30,1,2024-05-11,1.11,523912.14,,Prime,fixed,,SME,250,
550.80,L0073,,loan,,,USD,6.42,,550796.29,,,,6,0.45,2034-05-26,0,2024-10-04,2.85,550796.29,,Treasury,variable,,CRE,248,
354.55,L0074,,loan,,,USD,5.08,,354550.04,,,,2,0.27,2029-04-15,0,2023-04-08,2.32,354550.04,,SOFR,fixed,,auto,265,
518.37,L0075,,loan,,,USD,4.33,,518369.79,,,,3,0.52,2032-12-08,1,2018-05-20,2.66,518369.79,,Treasury,variable,,mortgage,131,
379.94,L0076,,loan,,,USD,3.57,,379935.22,,,,7,0.49,2034-08-27,0,2017-09-20,2.45,379935.22,,SOFR,variable,,auto,158,
411.18,L0077,,loan,,,USD,6.42,,411181.37,,,,8,0.24,2033-09-24,0,2023-03-08,2.27,411181.37,,Prime,fixed,,SME,201,
156.73,L0078,,loan,,,USD,6.21,,156731.61,,,,9,0.59,2033-04-13,1,2017-01-29,1.44,156731.61,,Treasury,variable,,consumer,268,
308.19,L0079,,loan,,,USD,5.57,,308185.98,,,,9,0.40,2035-11-14,0,2018-08-13,2.63,308185.98,,Prime,variable,,mortgage,162,
500.76,L0080,,loan,,,USD,7.49,,500758.75,,,,2,0.14,2030-01-30,0,2020-01-19,0.56,500758.75,,Prime,fixed,,SME,344,
199.70,L0081,,loan,,,USD,7.25,,199699.22,,,,6,0.31,2027-03-09,0,2023-03-01,1.25,199699.22,,SOFR,variable,,consumer,310,
234.16,L0082,,loan,,,USD,3.40,,234162.09,,,,8,0.52,2027-12-30,0,2024-04-06,1.98,234162.09,,Prime,fixed,,auto,94,
263.69,L0083,,loan,,,USD,6.05,,263689.82,,,,10,0.55,2026-12-11,1,2016-06-10,0.16,263689.82,,Treasury,fixed,,auto,320,
319.65,L0084,,loan,,,USD,5.19,,319649.06,,,,2,0.25,2029-07-20,1,2018-08-22,0.24,319649.06,,SOFR,variable,,SME,136,
268.15,L0085,,loan,,,USD,4.28,,268149.04,,,,10,0.22,2033-05-02,1,2025-10-15,0.52,268149.04,,SOFR,variable,,SME,88,
506.38,L0086,,loan,,,USD,5.24,,506378.39,,,,8,0.36,2027-11-05,0,2019-09-15,1.15,506378.39,,Prime,fixed,,CRE,175,
242.12,L0087,,loan,,,USD,7.22,,242115.81,,,,2,0.47,2029-09-23,0,2021-12-09,1.14,242115.81,,Treasury,fixed,,mortgage,278,
537.83,L0088,,loan,,,USD,3.11,,537825.42,,,,3,0.27,2033-01-03,0,2018-01-03,1.96,537825.42,,Treasury,variable,,SME,148,
305.09,L0089,,loan,,,USD,4.77,,305088.95,,,,9,0.12,2032-01-07,1,2025-05-03,0.68,305088.95,,Prime,variable,,auto,112,
486.72,L0090,,loan,,,USD,5.48,,486723.34,,,,2,0.42,2035-05-02,0,2016-02-05,0.93,486723.34,,Prime,variable,,mortgage,322,
326.51,L0091,,loan,,,USD,7.20,,326507.38,,,,8,0.32,2035-03-22,0,2023-09-17,2.87,326507.38,,Treasury,variable,,consumer,303,
448.98,L0092,,loan,,,USD,5.75,,448982.64,,,,5,0.46,2027-10-24,0,2016-08-01,0.33,448982.64,,Treasury,fixed,,CRE,345,
142.73,L0093,,loan,,,USD,3.06,,142730.73,,,,8,0.25,2034-04-19,0,2023-12-09,1.39,142730.73,,Prime,variable,,SME,132,
538.14,L0094,,loan,,,USD,5.94,,538139.86,,,,9,0.24,2031-10-06,0,2024-12-18,2.94,538139.86,,Prime,variable,,mortgage,260,
218.37,L0095,,loan,,,USD,2.88,,218371.75,,,,6,0.44,2033-09-12,0,2025-01-19,1.37,218371.75,,Treasury,fixed,,auto,95,
150.00,L0096,,loan,,,USD,7.11,,149995.63,,,,10,0.40,2027-04-01,0,2021-08-20,2.07,149995.63,,SOFR,variable,,consumer,276,
540.50,L0097,,loan,,,USD,5.36,,540497.77,,,,9,0.24,2034-03-03,1,2017-07-22,2.89,540497.77,,Prime,fixed,,mortgage,267,
137.53,L0098,,loan,,,USD,3.69,,137533.45,,,,2,0.45,2029-10-21,0,2022-08-09,0.72,137533.45,,SOFR,variable,,CRE,140,
133.48,L0099,,loan,,,USD,4.03,,133478.38,,,,2,0.32,2034-11-19,0,2018-04-26,0.35,133478.38,,Treasury,variable,,consumer,117,
228.51,L0100,,loan,,,USD,6.38,,228505.38,,,,4,0.45,2034-11-13,0,2016-11-27,2.13,228505.38,,Treasury,variable,,auto,233,
488.62,L0101,,loan,,,USD,5.70,,488620.74,,,,9,0.50,2029-07-16,0,2019-05-22,0.18,488620.74,,Prime,variable,,CRE,182,
392.87,L0102,,loan,,,USD,2.94,,392873.14,,,,2,0.60,2031-05-08,0,2021-03-14,2.18,392873.14,,Treasury,variable,,CRE,124,
224.67,L0103,,loan,,,USD,5.85,,224665.53,,,,7,0.33,2031-12-07,0,2015-12-17,1.60,224665.53,,SOFR,fixed,,auto,242,
327.94,L0104,,loan,,,USD,4.48,,327937.36,,,,5,0.18,2030-04-18,0,2021-12-04,1.04,327937.36,,SOFR,variable,,auto,143,
170.11,L0105,,loan,,,USD,4.08,,170108.56,,,,10,0.41,2030-04-13,0,2019-03-03,0.37,170108.56,,SOFR,fixed,,auto,220,
536.31,L0106,,loan,,,USD,4.99,,536310.68,,,,7,0.14,2027-03-16,0,2022-11-02,2.85,536310.68,,Treasury,fixed,,CRE,101,
324.19,L0107,,loan,,,USD,7.51,,324190.36,,,,8,0.24,2033-01-01,0,2023-01-22,2.87,324190.36,,Prime,variable,,SME,334,
232.44,L0108,,loan,,,USD,3.07,,232442.79,,,,6,0.34,2031-07-19,0,2024-03-12,0.69,232442.79,,Treasury,variable,,CRE,110,
281.94,L0109,,loan,,,USD,4.73,,281944.61,,,,8,0.36,2031-01-15,0,2020-07-29,0.41,281944.61,,Prime,fixed,,auto,284,
386.09,L0110,,loan,,,USD,3.31,,386087.12,,,,10,0.57,2030-02-20,0,2023-01-09,2.61,386087.12,,Prime,fixed,,SME,152,
543.33,L0111,,loan,,,USD,5.56,,543331.68,,,,7,0.60,2032-06-21,1,2020-03-24,1.45,543331.68,,SOFR,fixed,,consumer,177,
435.51,L0112,,loan,,,USD,4.18,,435506.79,,,,9,0.12,2030-11-04,0,2015-11-29,0.92,435506.79,,Prime,variable,,CRE,203,
461.62,L0113,,loan,,,USD,4.14,,461623.84,,,,10,0.46,2029-11-07,0,2025-04-19,2.32,461623.84,,SOFR,variable,,consumer,135,
191.81,L0114,,loan,,,USD,5.81,,191805.75,,,,2,0.29,2027-09-17,1,2022-09-02,1.41,191805.75,,SOFR,fixed,,CRE,265,
256.52,L0115,,loan,,,USD,6.59,,256521.16,,,,1,0.38,2030-09-08,0,2023-07-29,1.16,256521.16,,Treasury,variable,,auto,271,
374.13,L0116,,loan,,,USD,2.90,,374131.28,,,,10,0.50,2030-08-15,0,2019-01-03,1.61,374131.28,,Prime,fixed,,auto,99,
528.02,L0117,,loan,,,USD,4.31,,528018.80,,,,10,0.47,2033-10-19,0,2020-02-13,0.97,528018.80,,Treasury,variable,,consumer,163,
372.86,L0118,,loan,,,USD,7.18,,372862.22,,,,1,0.27,2031-01-06,1,2019-04-06,0.42,372862.22,,Treasury,variable,,SME,323,
518.85,L0119,,loan,,,USD,6.55,,518851.96,,,,8,0.59,2035-08-31,0,2017-09-19,1.78,518851.96,,Treasury,fixed,,auto,215,
284.76,L0120,,loan,,,USD,6.87,,284762.11,,,,1,0.49,2033-11-01,1,2025-06-14,1.20,284762.11,,SOFR,fixed,,auto,348,
533.55,L0121,,loan,,,USD,5.16,,533548.27,,,,3,0.45,2031-07-08,0,2020-07-08,1.29,533548.27,,Treasury,fixed,,CRE,240,
206.99,L0122,,loan,,,USD,6.95,,206994.00,,,,6,0.36,2032-04-01,0,2020-08-26,1.01,206994.00,,Treasury,variable,,auto,246,
380.03,L0123,,loan,,,USD,5.35,,380025.34,,,,4,0.24,2029-08-25,1,2017-02-27,0.97,380025.34,,Treasury,variable,,consumer,327,
484.82,L0124,,loan,,,USD,5.36,,484816.55,,,,9,0.57,2033-03-03,1,2022-07-31,2.41,484816.55,,Treasury,fixed,,consumer,242,
226.56,L0125,,loan,,,USD,6.78,,226557.00,,,,8,0.50,2035-07-22,0,2017-10-18,0.94,226557.00,,Prime,fixed,,consumer,282,
426.21,L0126,,loan,,,USD,5.39,,426206.71,,,,10,0.24,2032-12-04,0,2024-04-07,1.73,426206.71,,Treasury,fixed,,consumer,325,
