amount,balance,beta_to_policy_rate,branch_id,category,collateral_type,coupon_rate,currency,customer_type,decay_half_life_days,end_of_period_balance,haircut,issuance_date,issue_date,liability_id,maturity_date,modeled_life_years,nmd_flag,notional,open_date,product,rate,runoff_rate_stress,stability_segment,tier,type
,276230.35,0.00,50,deposit,,,USD,corp,0,-276230.35,,,,D0091,2028-05-24,0.00,0,,2020-05-22,time,1.94,0.00,,,
,221013.49,0.00,47,deposit,,,USD,retail,0,-221013.49,,,,D0092,2026-12-17,0.00,0,,2019-04-27,time,3.22,0.00,,,
,189446.13,0.33,18,deposit,,,USD,retail,483,-189446.13,,,,D0093,,3.51,1,,2018-01-15,savings,2.85,9.53,volatile,,
,148528.63,0.49,20,deposit,,,USD,corp,231,-148528.63,,,,D0094,,3.48,1,,2017-05-31,savings,1.39,10.80,volatile,,
,271995.52,0.00,41,deposit,,,USD,corp,0,-271995.52,,,,D0095,2027-09-23,0.00,0,,2017-07-17,time,2.95,0.00,,,
,134492.32,0.00,44,deposit,,,USD,SME,0,-134492.32,,,,D0096,2027-02-22,0.00,0,,2017-10-17,time,0.76,0.00,,,
,131428.87,0.00,33,deposit,,,USD,retail,0,-131428.87,,,,D0097,2026-09-17,0.00,0,,2018-07-08,time,1.21,0.00,,,
,241720.06,0.00,36,deposit,,,USD,SME,0,-241720.06,,,,D0098,2027-10-11,0.00,0,,2024-07-06,time,1.90,0.00,,,
,172935.09,0.00,19,deposit,,,USD,corp,0,-172935.09,,,,D0099,2028-04-22,0.00,0,,2017-06-02,time,1.68,0.00,,,
,187084.36,0.06,19,deposit,,,USD,retail,238,-187084.36,,,,D0100,,1.32,1,,2022-10-24,demand,3.07,1.79,stable,,
,252818.66,0.16,44,deposit,,,USD,corp,644,-252818.66,,,,D0101,,1.19,1,,2024-08-28,demand,2.39,12.40,volatile,,
,154079.37,0.00,25,deposit,,,USD,corp,0,-154079.37,,,,D0102,2027-03-24,0.00,0,,2018-07-20,time,2.59,0.00,,,
,226201.27,0.00,25,deposit,,,USD,retail,0,-226201.27,,,,D0103,2027-08-01,0.00,0,,2018-05-10,time,0.83,0.00,,,
,154148.55,0.00,48,deposit,,,USD,retail,0,-154148.55,,,,D0104,2027-09-21,0.00,0,,2025-03-15,time,1.36,0.00,,,
,218273.36,0.47,19,deposit,,,USD,retail,649,-218273.36,,,,D0105,,5.43,1,,2017-09-04,demand,0.88,3.75,volatile,,
,240115.35,0.45,9,deposit,,,USD,SME,212,-240115.35,,,,D0106,,3.26,1,,2019-07-26,demand,1.57,7.00,stable,,
,160828.30,0.31,50,deposit,,,USD,retail,248,-160828.30,,,,D0107,,1.24,1,,2019-02-11,demand,0.56,14.00,volatile,,
,280116.95,0.09,33,deposit,,,USD,retail,415,-280116.95,,,,D0108,,4.15,1,,2019-12-20,savings,3.26,14.40,volatile,,
,113921.04,0.17,49,deposit,,,USD,retail,308,-113921.04,,,,D0109,,4.98,1,,2022-07-07,demand,0.56,5.63,volatile,,
,262995.07,0.00,1,deposit,,,USD,corp,0,-262995.07,,,,D0110,2028-08-18,0.00,0,,2016-07-27,time,2.16,0.00,,,
,268221.49,0.55,21,deposit,,,USD,corp,718,-268221.49,,,,D0111,,6.51,1,,2025-05-11,savings,0.40,4.41,stable,,
,146384.25,0.35,33,deposit,,,USD,SME,379,-146384.25,,,,D0112,,1.15,1,,2017-03-02,savings,1.33,8.24,volatile,,
,219350.70,0.21,50,deposit,,,USD,retail,287,-219350.70,,,,D0113,,2.92,1,,2024-09-23,savings,2.81,2.15,stable,,
,143331.11,0.00,43,deposit,,,USD,retail,0,-143331.11,,,,D0114,2026-01-04,0.00,0,,2025-01-26,time,1.88,0.00,,,
,180243.96,0.00,14,deposit,,,USD,retail,0,-180243.96,,,,D0115,2027-03-01,0.00,0,,2021-01-18,time,2.20,0.00,,,
,226482.82,0.00,48,deposit,,,USD,retail,0,-226482.82,,,,D0116,2028-05-29,0.00,0,,2016-08-24,time,1.88,0.00,,,
,251496.47,0.07,37,deposit,,,USD,retail,165,-251496.47,,,,D0117,,1.33,1,,2019-07-20,savings,2.40,12.12,volatile,,
,253309.62,0.30,35,deposit,,,USD,retail,504,-253309.62,,,,D0118,,3.60,1,,2018-04-04,savings,2.88,1.24,volatile,,
,152544.49,0.00,45,deposit,,,USD,retail,0,-152544.49,,,,D0119,2026-04-28,0.00,0,,2019-03-29,time,0.02,0.00,,,
,179177.95,0.00,44,deposit,,,USD,SME,0,-179177.95,,,,D0120,2027-12-22,0.00,0,,2024-08-13,time,2.97,0.00,,,
,152860.85,0.26,26,deposit,,,USD,corp,121,-152860.85,,,,D0121,,3.84,1,,2024-04-11,savings,1.05,8.47,volatile,,
,225012.99,0.00,44,deposit,,,USD,SME,0,-225012.99,,,,D0122,2027-08-16,0.00,0,,2024-03-10,time,2.79,0.00,,,
,121951.84,0.12,20,deposit,,,USD,retail,95,-121951.84,,,,D0123,,4.44,1,,2019-09-01,demand,3.10,6.52,stable,,
,270565.49,0.55,13,deposit,,,USD,SME,614,-270565.49,,,,D0124,,1.85,1,,2018-11-21,demand,0.74,3.58,volatile,,
,111238.99,0.00,36,deposit,,,USD,corp,0,-111238.99,,,,D0125,2026-04-10,0.00,0,,2020-08-19,time,0.40,0.00,,,
,174673.02,0.16,42,deposit,,,USD,corp,684,-174673.02,,,,D0126,,3.92,1,,2024-05-14,savings,0.26,5.63,stable,,
,166562.63,0.00,21,deposit,,,USD,retail,0,-166562.63,,,,D0127,2027-07-26,0.00,0,,2025-01-09,time,0.82,0.00,,,
,179351.10,0.00,45,deposit,,,USD,SME,0,-179351.10,,,,D0128,2027-10-23,0.00,0,,2018-05-31,time,1.70,0.00,,,
,261523.55,0.14,28,deposit,,,USD,corp,410,-261523.55,,,,D0129,,2.48,1,,2017-07-05,savings,2.04,4.10,volatile,,
,185534.96,0.53,7,deposit,,,USD,corp,563,-185534.96,,,,D0130,,3.67,1,,2020-05-06,demand,0.97,11.85,volatile,,
,208342.39,0.54,5,deposit,,,USD,corp,291,-208342.39,,,,D0131,,2.58,1,,2024-12-12,savings,0.62,13.41,stable,,
,140445.71,0.00,38,deposit,,,USD,corp,0,-140445.71,,,,D0132,2028-10-23,0.00,0,,2025-06-16,time,3.12,0.00,,,
,194649.58,0.35,15,deposit,,,USD,SME,642,-194649.58,,,,D0133,,3.83,1,,2021-09-14,demand,1.42,11.85,volatile,,
,288492.95,0.33,40,deposit,,,USD,retail,182,-288492.95,,,,D0134,,3.38,1,,2018-05-17,demand,3.12,8.03,volatile,,
,122311.66,0.14,47,deposit,,,USD,corp,669,-122311.66,,,,D0135,,6.69,1,,2024-03-02,demand,2.39,10.23,volatile,,
,215795.19,0.47,14,deposit,,,USD,corp,327,-215795.19,,,,D0136,,1.38,1,,2025-04-29,demand,1.69,6.17,stable,,
,111552.75,0.55,34,deposit,,,USD,corp,137,-111552.75,,,,D0137,,1.24,1,,2024-08-25,savings,1.81,10.08,volatile,,
,148255.69,0.00,35,deposit,,,USD,corp,0,-148255.69,,,,D0138,2027-07-03,0.00,0,,2022-11-08,time,2.22,0.00,,,
,276718.36,0.00,38,deposit,,,USD,SME,0,-276718.36,,,,D0139,2028-01-30,0.00,0,,2021-07-24,time,2.00,0.00,,,
,281461.99,0.00,15,deposit,,,USD,SME,0,-281461.99,,,,D0140,2026-05-28,0.00,0,,2022-12-26,time,2.29,0.00,,,
,181375.13,0.49,15,deposit,,,USD,retail,708,-181375.13,,,,D0141,,1.04,1,,2020-11-15,savings,1.81,13.35,volatile,,
,161113.09,0.15,27,deposit,,,USD,retail,460,-161113.09,,,,D0142,,4.61,1,,2018-05-24,demand,0.27,12.44,stable,,
,238561.35,0.31,3,deposit,,,USD,retail,694,-238561.35,,,,D0143,,1.97,1,,2025-07-22,savings,2.84,12.67,volatile,,
,248462.88,0.54,26,deposit,,,USD,corp,240,-248462.88,,,,D0144,,1.34,1,,2023-10-15,demand,0.45,4.62,stable,,
,186027.79,0.00,19,deposit,,,USD,corp,0,-186027.79,,,,D0145,2026-01-27,0.00,0,,2017-08-23,time,2.10,0.00,,,
,182157.06,0.53,50,deposit,,,USD,corp,264,-182157.06,,,,D0146,,2.32,1,,2024-03-16,savings,3.32,6.75,volatile,,
,225459.16,0.45,25,deposit,,,USD,retail,440,-225459.16,,,,D0147,,6.53,1,,2025-01-13,savings,0.64,9.35,stable,,
,206761.07,0.34,12,deposit,,,USD,retail,606,-206761.07,,,,D0148,,5.11,1,,2019-01-06,demand,1.35,12.57,stable,,
,136794.52,0.00,6,deposit,,,USD,retail,0,-136794.52,,,,D0149,2026-03-09,0.00,0,,2020-02-29,time,1.67,0.00,,,
,124239.09,0.00,50,deposit,,,USD,retail,0,-124239.09,,,,D0150,2026-09-12,0.00,0,,2019-10-05,time,1.69,0.00,,,
,123407.52,0.00,3,deposit,,,USD,SME,0,-123407.52,,,,D0151,2028-05-21,0.00,0,,2021-02-01,time,2.37,0.00,,,
,276417.68,0.48,37,deposit,,,USD,corp,480,-276417.68,,,,D0152,,3.10,1,,2017-04-07,demand,2.44,12.26,volatile,,
,286120.68,0.47,13,deposit,,,USD,SME,175,-286120.68,,,,D0153,,2.70,1,,2021-03-23,savings,0.34,13.27,volatile,,
,137284.62,0.00,34,deposit,,,USD,retail,0,-137284.62,,,,D0154,2026-01-03,0.00,0,,2019-12-12,time,0.02,0.00,,,
,168430.52,0.00,27,deposit,,,USD,SME,0,-168430.52,,,,D0155,2027-02-13,0.00,0,,2016-10-14,time,0.03,0.00,,,
,215626.83,0.19,26,deposit,,,USD,corp,638,-215626.83,,,,D0156,,3.54,1,,2022-09-19,savings,1.27,6.12,volatile,,
,247756.65,0.00,31,deposit,,,USD,corp,0,-247756.65,,,,D0157,2028-04-14,0.00,0,,2017-01-06,time,2.64,0.00,,,
,227149.78,0.37,48,deposit,,,USD,retail,497,-227149.78,,,,D0158,,5.41,1,,2018-05-31,savings,0.63,12.97,volatile,,
,225934.83,0.33,4,deposit,,,USD,corp,436,-225934.83,,,,D0159,,5.81,1,,2018-02-17,demand,0.80,9.60,stable,,
,165417.07,0.31,6,deposit,,,USD,SME,704,-165417.07,,,,D0160,,3.61,1,,2023-04-27,demand,0.56,1.90,stable,,
,188555.99,0.44,32,deposit,,,USD,corp,701,-188555.99,,,,D0161,,1.34,1,,2023-11-04,savings,2.13,11.83,volatile,,
,282324.90,0.00,19,deposit,,,USD,corp,0,-282324.90,,,,D0162,2027-02-06,0.00,0,,2016-10-16,time,1.54,0.00,,,
,152416.60,0.00,40,deposit,,,USD,retail,0,-152416.60,,,,D0163,2028-10-30,0.00,0,,2017-12-22,time,0.68,0.00,,,
,153478.41,0.41,43,deposit,,,USD,SME,251,-153478.41,,,,D0164,,1.52,1,,2021-04-29,savings,0.59,4.86,stable,,
,277090.66,0.00,46,deposit,,,USD,corp,0,-277090.66,,,,D0165,2027-02-03,0.00,0,,2025-08-20,time,1.38,0.00,,,
,130125.66,0.00,36,deposit,,,USD,corp,0,-130125.66,,,,D0166,2026-06-22,0.00,0,,2022-08-13,time,0.24,0.00,,,
,220326.64,0.17,12,deposit,,,USD,SME,289,-220326.64,,,,D0167,,3.73,1,,2025-10-02,savings,3.20,6.66,volatile,,
,119046.97,0.00,19,deposit,,,USD,corp,0,-119046.97,,,,D0168,2026-07-26,0.00,0,,2024-12-29,time,1.42,0.00,,,
,230101.30,0.00,37,deposit,,,USD,corp,0,-230101.30,,,,D0169,2026-08-16,0.00,0,,2022-12-01,time,1.19,0.00,,,
,228642.40,0.47,2,deposit,,,USD,corp,437,-228642.40,,,,D0170,,6.77,1,,2020-08-21,savings,0.88,7.42,volatile,,
,140968.33,0.40,23,deposit,,,USD,SME,315,-140968.33,,,,D0171,,5.06,1,,2022-04-07,demand,1.69,4.22,volatile,,
,111347.66,0.00,16,deposit,,,USD,SME,0,-111347.66,,,,D0172,2026-01-08,0.00,0,,2016-06-22,time,1.81,0.00,,,
,133983.20,0.00,5,deposit,,,USD,SME,0,-133983.20,,,,D0173,2028-03-16,0.00,0,,2017-05-29,time,1.01,0.00,,,
,111108.79,0.24,32,deposit,,,USD,retail,677,-111108.79,,,,D0174,,2.61,1,,2018-02-22,savings,1.94,14.26,volatile,,
,199265.54,0.00,14,deposit,,,USD,SME,0,-199265.54,,,,D0175,2027-04-14,0.00,0,,2023-02-03,time,2.58,0.00,,,
,172057.18,0.00,50,deposit,,,USD,retail,0,-172057.18,,,,D0176,2027-05-15,0.00,0,,2021-10-24,time,0.80,0.00,,,
,203047.60,0.00,40,deposit,,,USD,SME,0,-203047.60,,,,D0177,2026-05-29,0.00,0,,2018-05-14,time,0.37,0.00,,,
,258530.89,0.39,32,deposit,,,USD,SME,594,-258530.89,,,,D0178,,6.39,1,,2019-05-13,savings,0.02,13.33,volatile,,
,156162.25,0.17,35,deposit,,,USD,SME,680,-156162.25,,,,D0179,,1.77,1,,2021-01-22,savings,0.64,8.36,volatile,,
,176630.62,0.30,1,deposit,,,USD,retail,213,-176630.62,,,,D0180,,5.19,1,,2018-01-28,savings,0.11,7.44,stable,,
,245312.62,0.00,24,deposit,,,USD,SME,0,-245312.62,,,,D0181,2028-02-05,0.00,0,,2024-09-04,time,2.36,0.00,,,
,267791.28,0.18,28,deposit,,,USD,SME,572,-267791.28,,,,D0182,,6.75,1,,2023-09-29,demand,2.14,5.80,volatile,,
,242251.96,0.20,7,deposit,,,USD,retail,274,-242251.96,,,,D0183,,4.43,1,,2018-02-11,savings,0.74,14.71,volatile,,
,130501.89,0.00,13,deposit,,,USD,SME,0,-130501.89,,,,D0184,2027-04-16,0.00,0,,2020-12-16,time,2.52,0.00,,,
,272596.09,0.15,35,deposit,,,USD,corp,601,-272596.09,,,,D0185,,1.81,1,,2018-09-25,savings,0.51,13.51,stable,,
,169931.85,0.36,14,deposit,,,USD,retail,671,-169931.85,,,,D0186,,1.29,1,,2023-12-22,savings,2.52,2.39,volatile,,
,187072.69,0.00,48,deposit,,,USD,SME,0,-187072.69,,,,D0187,2028-08-21,0.00,0,,2024-09-22,time,2.85,0.00,,,
,204252.81,0.24,37,deposit,,,USD,retail,511,-204252.81,,,,D0188,,1.73,1,,2019-01-06,savings,1.17,13.14,volatile,,
,156835.19,0.23,40,deposit,,,USD,SME,612,-156835.19,,,,D0189,,3.92,1,,2024-12-04,savings,2.02,11.31,volatile,,
,286254.66,0.28,11,deposit,,,USD,retail,717,-286254.66,,,,D0190,,4.43,1,,2025-01-02,demand,1.00,12.88,volatile,,
,223095.69,0.44,48,deposit,,,USD,SME,709,-223095.69,,,,D0191,,4.87,1,,2020-10-25,savings,1.20,4.80,volatile,,
