as_of_date,instrument_id,side,category,product_type,segment_id,bucket_type,tenor_days,weight,ticket_balance,ftp_rate_pct,position_rate_pct,ftp_spread_pct,ftp_charge
2025-11-21,S046,asset,security,asset,asset_security,match_funded,2423,1.0,791324.38,3.5769,3.46,0.1169,6228.52
2025-11-21,S047,asset,security,asset,asset_security,match_funded,1054,1.0,582241.61,4.1181,2.86,1.2581,21445.75
2025-11-21,S048,asset,security,asset,asset_security,match_funded,2898,1.0,532561.62,3.55,3.64,-0.09,-3858.41
2025-11-21,S049,asset,security,asset,asset_security,match_funded,994,1.0,608929.71,4.1597,3.69,0.4697,7897.55
2025-11-21,S050,asset,security,asset,asset_security,match_funded,2536,1.0,703586.45,3.55,2.82,0.73,36181.54
2025-11-21,L0001,asset,loan,asset,loan_consumer,match_funded,2778,1.0,512099.62,3.55,5.6,-2.05,-81009.89
2025-11-21,L0003,asset,loan,asset,loan_consumer,match_funded,2715,1.0,508938.13,3.55,5.44,-1.89,-72542.77
2025-11-21,L0005,asset,loan,asset,loan_sme,match_funded,3602,1.0,216007.19,3.55,6.25,-2.7,-58354.34
2025-11-21,L0007,asset,loan,asset,loan_cre,match_funded,671,1.0,425643.71,4.3908,4.04,0.3508,2783.35
2025-11-21,L0008,asset,loan,asset,loan_consumer,match_funded,2223,1.0,323977.63,3.6325,5.85,-2.2175,-44362.46
2025-11-21,L0009,asset,loan,asset,loan_consumer,match_funded,946,1.0,364780.79,4.1931,5.79,-1.5969,-15307.72
2025-11-21,L0012,asset,loan,asset,loan_cre,match_funded,2175,1.0,178435.51,3.6458,6.26,-2.6142,-28181.97
2025-11-21,L0013,asset,loan,asset,loan_sme,match_funded,3108,1.0,324018.65,3.55,5.39,-1.84,-51471.44
2025-11-21,L0014,asset,loan,asset,loan_sme,match_funded,1397,1.0,353235.39,3.9239,4.88,-0.9561,-13105.89
2025-11-21,L0015,asset,loan,asset,loan_sme,match_funded,2487,1.0,365448.5,3.5592,4.57,-1.0108,-25519.9
2025-11-21,L0016,asset,loan,asset,loan_cre,match_funded,3224,1.0,259271.53,3.55,5.08,-1.53,-35525.39
2025-11-21,L0018,asset,loan,asset,loan_sme,match_funded,1483,1.0,314320.64,3.8821,5.32,-1.4379,-18618.52
2025-11-21,L0020,asset,loan,asset,loan_sme,match_funded,1586,1.0,511818.6,3.8392,3.16,0.6792,15314.16
2025-11-21,L0021,asset,loan,asset,loan_consumer,match_funded,3488,1.0,307363.38,3.55,5.06,-1.51,-44967.95
2025-11-21,L0022,asset,loan,asset,loan_sme,match_funded,2046,1.0,518337.21,3.6817,6.06,-2.3783,-70062.92
2025-11-21,L0023,asset,loan,asset,loan_sme,match_funded,1723,1.0,315788.4,3.7821,7.77,-3.9879,-60273.31
2025-11-21,L0024,asset,loan,asset,loan_sme,match_funded,3565,1.0,189780.92,3.55,3.31,0.24,4510.46
2025-11-21,L0025,asset,loan,asset,loan_cre,match_funded,3474,1.0,498404.99,3.55,5.8,-2.25,-108216.18
2025-11-21,L0028,asset,loan,asset,loan_cre,match_funded,1930,1.0,488899.35,3.7139,3.43,0.2839,7440.85
2025-11-21,L0030,asset,loan,asset,loan_sme,match_funded,2235,1.0,461572.4,3.6292,6.54,-2.9108,-83412.7
2025-11-21,L0031,asset,loan,asset,loan_sme,match_funded,3228,1.0,332786.83,3.55,5.85,-2.3,-68631.74
2025-11-21,L0034,asset,loan,asset,loan_cre,match_funded,2573,1.0,433392.12,3.55,3.72,-0.17,-5265.83
2025-11-21,L0036,asset,loan,asset,loan_consumer,match_funded,2561,1.0,267422.67,3.55,4.36,-0.81,-15409.56
2025-11-21,L0037,asset,loan,asset,loan_cre,match_funded,2901,1.0,512260.89,3.55,4.9,-1.35,-55727.58
2025-11-21,L0038,asset,loan,asset,loan_sme,match_funded,549,1.0,155250.84,4.4925,4.74,-0.2475,-585.97
2025-11-21,L0039,asset,loan,asset,loan_cre,match_funded,3110,1.0,186121.72,3.55,5.64,-2.09,-33604.79
2025-11-21,L0040,asset,loan,asset,loan_sme,match_funded,1509,1.0,288158.13,3.8712,7.2,-3.3288,-40206.73
2025-11-21,L0041,asset,loan,asset,loan_sme,match_funded,1494,1.0,186989.42,3.8775,4.31,-0.4325,-3356.23
2025-11-21,L0045,asset,loan,asset,loan_cre,match_funded,624,1.0,324581.59,4.43,5.33,-0.9,-5063.47
2025-11-21,L0047,asset,loan,asset,loan_cre,match_funded,2180,1.0,485835.81,3.6444,6.95,-3.3056,-97249.63
2025-11-21,L0048,asset,loan,asset,loan_sme,match_funded,2537,1.0,290988.69,3.55,7.23,-3.68,-75464.36
2025-11-21,L0049,asset,loan,asset,loan_sme,match_funded,1299,1.0,458110.15,3.9783,5.85,-1.8717,-30938.91
2025-11-21,L0051,asset,loan,asset,loan_cre,match_funded,2642,1.0,128425.86,3.55,6.64,-3.09,-29123.35
2025-11-21,L0052,asset,loan,asset,loan_cre,match_funded,2823,1.0,506825.14,3.55,5.47,-1.92,-76307.59
2025-11-21,L0053,asset,loan,asset,loan_cre,match_funded,2642,1.0,372815.47,3.55,3.9,-0.35,-9576.18
2025-11-21,L0054,asset,loan,asset,loan_consumer,match_funded,1483,1.0,329439.61,3.8821,3.75,0.1321,1792.51
2025-11-21,L0055,asset,loan,asset,loan_cre,match_funded,2957,1.0,534106.8,3.55,3.08,0.47,20619.34
2025-11-21,L0056,asset,loan,asset,loan_cre,match_funded,3319,1.0,251060.75,3.55,4.21,-0.66,-15276.63
2025-11-21,L0057,asset,loan,asset,loan_sme,match_funded,3075,1.0,291212.72,3.55,3.53,0.02,497.49
2025-11-21,L0058,asset,loan,asset,loan_consumer,match_funded,3141,1.0,511652.16,3.55,4.83,-1.28,-57141.31
2025-11-21,L0059,asset,loan,asset,loan_consumer,match_funded,1229,1.0,487082.68,4.0172,2.94,1.0772,17912.55
2025-11-21,L0060,asset,loan,asset,loan_consumer,match_funded,2545,1.0,356350.33,3.55,3.58,-0.03,-755.76
2025-11-21,L0061,asset,loan,asset,loan_cre,match_funded,682,1.0,442659.23,4.3817,3.77,0.6117,5129.4
2025-11-21,L0062,asset,loan,asset,loan_consumer,match_funded,1067,1.0,471324.7,4.109,5.3,-1.191,-16637.33
2025-11-21,L0065,asset,loan,asset,loan_sme,match_funded,3477,1.0,239777.5,3.55,4.99,-1.44,-33348.25
2025-11-21,L0066,asset,loan,asset,loan_consumer,match_funded,643,1.0,333246.02,4.4142,4.36,0.0542,322.41
2025-11-21,L0068,asset,loan,asset,loan_cre,match_funded,3607,1.0,413762.48,3.55,6.4,-2.85,-118151.6
2025-11-21,L0069,asset,loan,asset,loan_consumer,match_funded,617,1.0,470566.32,4.4358,5.31,-0.8742,-7050.14
2025-11-21,L0070,asset,loan,asset,loan_consumer,match_funded,2163,1.0,438066.07,3.6492,5.68,-2.0308,-53452.49
2025-11-21,L0071,asset,loan,asset,loan_cre,match_funded,3015,1.0,489181.81,3.55,4.93,-1.38,-56537.19
2025-11-21,L0072,asset,loan,asset,loan_sme,match_funded,3082,1.0,523912.14,3.55,4.24,-0.69,-30948.36
2025-11-21,L0073,asset,loan,asset,loan_cre,match_funded,3108,1.0,550796.29,3.55,6.42,-2.87,-136474.47
2025-11-21,L0077,asset,loan,asset,loan_sme,match_funded,2864,1.0,411181.37,3.55,6.42,-2.87,-93882.76
2025-11-21,L0078,asset,loan,asset,loan_consumer,match_funded,2700,1.0,156731.61,3.55,6.21,-2.66,-31267.96
2025-11-21,L0080,asset,loan,asset,loan_sme,match_funded,1531,1.0,500758.75,3.8621,7.49,-3.6279,-77260.68
2025-11-21,L0081,asset,loan,asset,loan_consumer,match_funded,473,1.0,199699.22,4.5558,7.25,-2.6942,-7069.02
2025-11-21,L0084,asset,loan,asset,loan_sme,match_funded,1337,1.0,319649.06,3.9572,5.19,-1.2328,-14634.81
2025-11-21,L0085,asset,loan,asset,loan_sme,match_funded,2719,1.0,268149.04,3.55,4.28,-0.73,-14784.47
2025-11-21,L0086,asset,loan,asset,loan_cre,match_funded,714,1.0,506378.39,4.355,5.24,-0.885,-8888.21
2025-11-21,L0088,asset,loan,asset,loan_sme,match_funded,2600,1.0,537825.42,3.55,3.11,0.44,17090.9
2025-11-21,L0091,asset,loan,asset,loan_consumer,match_funded,3408,1.0,326507.38,3.55,7.2,-3.65,-112819.18
2025-11-21,L0092,asset,loan,asset,loan_cre,match_funded,702,1.0,448982.64,4.365,5.75,-1.385,-12125.9
2025-11-21,L0093,asset,loan,asset,loan_sme,match_funded,3071,1.0,142730.73,3.55,3.06,0.49,5966.1
2025-11-21,L0096,asset,loan,asset,loan_consumer,match_funded,496,1.0,149995.63,4.5367,7.11,-2.5733,-5318.07
2025-11-21,L0098,asset,loan,asset,loan_cre,match_funded,1430,1.0,137533.45,3.9056,3.69,0.2156,1177.61
2025-11-21,L0099,asset,loan,asset,loan_consumer,match_funded,3285,1.0,133478.38,3.55,4.03,-0.48,-5846.35
2025-11-21,L0101,asset,loan,asset,loan_cre,match_funded,1333,1.0,488620.74,3.9594,5.7,-1.7406,-31491.07
2025-11-21,L0102,asset,loan,asset,loan_cre,match_funded,1994,1.0,392873.14,3.6961,2.94,0.7561,16453.59
2025-11-21,L0106,asset,loan,asset,loan_cre,match_funded,480,1.0,536310.68,4.55,4.99,-0.44,-3146.36
2025-11-21,L0107,asset,loan,asset,loan_sme,match_funded,2598,1.0,324190.36,3.55,7.51,-3.96,-92647.12
2025-11-21,L0108,asset,loan,asset,loan_cre,match_funded,2066,1.0,232442.79,3.6761,3.07,0.6061,8085.3
2025-11-21,L0110,asset,loan,asset,loan_sme,match_funded,1552,1.0,386087.12,3.8533,3.31,0.5433,9043.59
2025-11-21,L0111,asset,loan,asset,loan_consumer,match_funded,2404,1.0,543331.68,3.5822,5.56,-1.9778,-71758.69
2025-11-21,L0112,asset,loan,asset,loan_cre,match_funded,1809,1.0,435506.79,3.7475,4.18,-0.4325,-9464.92
2025-11-21,L0113,asset,loan,asset,loan_consumer,match_funded,1447,1.0,461623.84,3.8971,4.14,-0.2429,-4507.25
2025-11-21,L0114,asset,loan,asset,loan_cre,match_funded,665,1.0,191805.75,4.3958,5.81,-1.4142,-5010.5
2025-11-21,L0117,asset,loan,asset,loan_consumer,match_funded,2889,1.0,528018.8,3.55,4.31,-0.76,-32203.87
2025-11-21,L0118,asset,loan,asset,loan_sme,match_funded,1872,1.0,372862.22,3.73,7.18,-3.45,-66891.48
2025-11-21,L0121,asset,loan,asset,loan_cre,match_funded,2055,1.0,533548.27,3.6792,5.16,-1.4808,-45101.32
2025-11-21,L0123,asset,loan,asset,loan_consumer,match_funded,1373,1.0,380025.34,3.9372,5.35,-1.4128,-20476.44
2025-11-21,L0124,asset,loan,asset,loan_consumer,match_funded,2659,1.0,484816.55,3.55,5.36,-1.81,-64814.45
2025-11-21,L0125,asset,loan,asset,loan_consumer,match_funded,3530,1.0,226557.0,3.55,6.78,-3.23,-71755.01
2025-11-21,L0126,asset,loan,asset,loan_consumer,match_funded,2570,1.0,426206.71,3.55,5.39,-1.84,-55984.62
2025-11-21,L0128,asset,loan,asset,loan_sme,match_funded,2618,1.0,420523.21,3.55,3.02,0.53,16208.13
2025-11-21,L0133,asset,loan,asset,loan_cre,match_funded,2980,1.0,353944.34,3.55,5.02,-1.47,-43069.13
2025-11-21,L0134,asset,loan,asset,loan_sme,match_funded,1380,1.0,410531.71,3.9333,4.44,-0.5067,-7973.44
2025-11-21,L0135,asset,loan,asset,loan_sme,match_funded,3201,1.0,150144.32,3.55,5.59,-2.04,-27234.68
2025-11-21,L0139,asset,loan,asset,loan_cre,match_funded,2495,1.0,335249.67,3.5569,4.12,-0.5631,-13082.41
2025-11-21,L0140,asset,loan,asset,loan_sme,match_funded,2065,1.0,310343.84,3.6764,5.02,-1.3436,-23918.52
2025-11-21,L0141,asset,loan,asset,loan_sme,match_funded,3418,1.0,278997.33,3.55,6.05,-2.5,-66223.12
2025-11-21,L0142,asset,loan,asset,loan_sme,match_funded,2038,1.0,511622.93,3.6839,4.81,-1.1261,-32616.17
2025-11-21,L0143,asset,loan,asset,loan_consumer,match_funded,3074,1.0,321863.77,3.55,4.76,-1.21,-33255.14
2025-11-21,L0144,asset,loan,asset,loan_cre,match_funded,3461,1.0,187071.1,3.55,5.94,-2.39,-42983.69
2025-11-21,L0147,asset,loan,asset,loan_consumer,match_funded,3542,1.0,405669.95,3.55,5.67,-2.12,-84616.44
2025-11-21,L0148,asset,loan,asset,loan_sme,match_funded,950,1.0,390490.01,4.1903,4.42,-0.2297,-2367.2
2025-11-21,L0149,asset,loan,asset,loan_sme,match_funded,556,1.0,523945.55,4.4867,6.15,-1.6633,-13459.77
2025-11-21,L0151,asset,loan,asset,loan_consumer,match_funded,913,1.0,324119.96,4.216,6.1,-1.884,-15486.79
2025-11-21,L0154,asset,loan,asset,loan_sme,match_funded,2625,1.0,261471.56,3.55,7.08,-3.53,-67301.69
2025-11-21,L0155,asset,loan,asset,loan_sme,match_funded,2272,1.0,227719.63,3.6189,7.57,-3.9511,-56783.94
2025-11-21,L0156,asset,loan,asset,loan_cre,match_funded,1270,1.0,530538.78,3.9944,4.55,-0.5556,-10397.91
2025-11-21,L0157,asset,loan,asset,loan_consumer,match_funded,2697,1.0,242410.94,3.55,4.67,-1.12,-20339.89
2025-11-21,L0158,asset,loan,asset,loan_sme,match_funded,1806,1.0,317936.48,3.7483,5.36,-1.6117,-25705.78
2025-11-21,L0160,asset,loan,asset,loan_sme,match_funded,2976,1.0,370248.93,3.55,4.39,-0.84,-25710.09
2025-11-21,L0162,asset,loan,asset,loan_consumer,match_funded,1150,1.0,267663.95,4.0611,5.43,-1.3689,-11704.51
2025-11-21,L0165,asset,loan,asset,loan_cre,match_funded,1305,1.0,334084.42,3.975,7.76,-3.785,-45838.47
2025-11-21,L0167,asset,loan,asset,loan_sme,match_funded,1957,1.0,233369.41,3.7064,5.23,-1.5236,-19328.87
2025-11-21,L0168,asset,loan,asset,loan_cre,match_funded,1314,1.0,242731.83,3.97,2.86,1.11,9834.28
2025-11-21,L0172,asset,loan,asset,loan_cre,match_funded,471,1.0,346861.7,4.5575,6.14,-1.5825,-7181.55
2025-11-21,L0174,asset,loan,asset,loan_sme,match_funded,1463,1.0,225900.8,3.8904,3.82,0.0704,646.45
2025-11-21,L0175,asset,loan,asset,loan_cre,match_funded,1374,1.0,298437.51,3.9367,4.9,-0.9633,-10972.72
2025-11-21,L0176,asset,loan,asset,loan_consumer,match_funded,1724,1.0,363801.06,3.7817,5.18,-1.3983,-24361.8
2025-11-21,L0177,asset,loan,asset,loan_sme,match_funded,3211,1.0,225447.26,3.55,4.79,-1.24,-24934.72
2025-11-21,L0178,asset,loan,asset,loan_cre,match_funded,3582,1.0,329050.01,3.55,5.09,-1.54,-50420.33
2025-11-21,L0180,asset,loan,asset,loan_sme,match_funded,3061,1.0,316781.91,3.55,4.58,-1.03,-27743.32
2025-11-21,L0181,asset,loan,asset,loan_consumer,match_funded,3197,1.0,127420.15,3.55,7.66,-4.11,-46507.19
2025-11-21,L0182,asset,loan,asset,loan_sme,match_funded,545,1.0,249137.36,4.4958,5.09,-0.5942,-2241.0
2025-11-21,L0183,asset,loan,asset,loan_cre,match_funded,2455,1.0,297546.8,3.5681,3.58,-0.0119,-242.37
2025-11-21,L0185,asset,loan,asset,loan_sme,match_funded,2498,1.0,411603.33,3.5561,6.98,-3.4239,-97788.66
2025-11-21,L0187,asset,loan,asset,loan_sme,match_funded,2110,1.0,363052.61,3.6639,4.1,-0.4361,-9279.97
2025-11-21,L0189,asset,loan,asset,loan_sme,match_funded,2563,1.0,557787.31,3.55,5.22,-1.67,-66317.97
2025-11-21,L0190,asset,loan,asset,loan_sme,match_funded,2768,1.0,361697.21,3.55,6.11,-2.56,-71194.87
2025-11-21,L0195,asset,loan,asset,loan_sme,match_funded,1546,1.0,436793.03,3.8558,4.37,-0.5142,-9644.65
2025-11-21,L0196,asset,loan,asset,loan_cre,match_funded,3463,1.0,258502.53,3.55,5.8,-2.25,-55949.64
2025-11-21,L0199,asset,loan,asset,loan_cre,match_funded,1562,1.0,423117.8,3.8492,6.89,-3.0408,-55825.48
2025-11-21,D0003,liability,deposit,deposit,unassigned,match_funded,708,1.0,-223146.57,4.36,1.67,2.69,-11805.2
2025-11-21,D0005,liability,deposit,deposit,unassigned,match_funded,839,1.0,-122770.46,4.2674,1.31,2.9574,-8461.7
2025-11-21,D0006,liability,deposit,deposit,td_corp,match_funded,351,1.0,-253458.75,4.6625,1.13,3.5325,-8729.59
2025-11-21,D0007,liability,deposit,deposit,td_corp,match_funded,385,1.0,-248785.34,4.6292,2.27,2.3592,-6276.85
2025-11-21,D0008,liability,deposit,deposit,unassigned,match_funded,486,1.0,-182261.26,4.545,2.75,1.795,-4416.65
2025-11-21,D0009,liability,deposit,deposit,unassigned,match_funded,1,1.0,-245317.34,5.3,1.07,4.23,-28.82
2025-11-21,D0010,liability,deposit,deposit,unassigned,match_funded,481,1.0,-235303.52,4.5492,2.11,2.4392,-7668.54
2025-11-21,D0011,liability,deposit,deposit,unassigned,match_funded,1,1.0,-268492.32,5.3,0.49,4.81,-35.87
2025-11-21,D0012,liability,deposit,deposit,unassigned,match_funded,1,1.0,-191683.71,5.3,2.24,3.06,-16.29
2025-11-21,D0015,liability,deposit,deposit,unassigned,match_funded,1,1.0,-266963.93,5.3,0.6,4.7,-34.85
2025-11-21,D0016,liability,deposit,deposit,unassigned,match_funded,366,1.0,-263012.75,4.645,1.51,3.135,-8382.87
2025-11-21,D0018,liability,deposit,deposit,unassigned,match_funded,1,1.0,-285727.55,5.3,1.38,3.92,-31.11
2025-11-21,D0021,liability,deposit,deposit,unassigned,match_funded,579,1.0,-263546.88,4.4675,0.92,3.5475,-15036.83
2025-11-21,D0023,liability,deposit,deposit,unassigned,match_funded,886,1.0,-181328.03,4.2347,2.86,1.3747,-6134.95
2025-11-21,D0024,liability,deposit,deposit,unassigned,match_funded,1,1.0,-284996.63,5.3,3.09,2.21,-17.5
2025-11-21,D0026,liability,deposit,deposit,unassigned,match_funded,1,1.0,-198956.95,5.3,0.27,5.03,-27.8
2025-11-21,D0027,liability,deposit,deposit,unassigned,match_funded,842,1.0,-167724.42,4.2653,1.36,2.9053,-11397.08
2025-11-21,D0028,liability,deposit,deposit,td_corp,match_funded,54,1.0,-160586.99,5.14,1.6,3.54,-852.72
2025-11-21,D0029,liability,deposit,deposit,unassigned,match_funded,1,1.0,-208515.84,5.3,2.74,2.56,-14.83
2025-11-21,D0030,liability,deposit,deposit,unassigned,match_funded,614,1.0,-132780.5,4.4383,2.73,1.7083,-3868.77
2025-11-21,D0031,liability,deposit,deposit,unassigned,match_funded,1023,1.0,-263967.86,4.1396,0.92,3.2196,-24150.37
2025-11-21,D0033,liability,deposit,deposit,unassigned,match_funded,1,1.0,-271552.38,5.3,0.07,5.23,-39.45
2025-11-21,D0035,liability,deposit,deposit,unassigned,match_funded,1,1.0,-117395.7,5.3,1.7,3.6,-11.74
2025-11-21,D0036,liability,deposit,deposit,unassigned,match_funded,1,1.0,-222849.73,5.3,2.98,2.32,-14.36
2025-11-21,D0037,liability,deposit,deposit,unassigned,match_funded,1,1.0,-261110.79,5.3,2.47,2.83,-20.53
2025-11-21,D0038,liability,deposit,deposit,unassigned,match_funded,1000,1.0,-112004.92,4.1556,0.62,3.5356,-10999.99
2025-11-21,D0039,liability,deposit,deposit,td_corp,match_funded,558,1.0,-277963.95,4.485,0.57,3.915,-16867.55
2025-11-21,D0040,liability,deposit,deposit,unassigned,match_funded,1,1.0,-137758.31,5.3,1.0,4.3,-16.45
2025-11-21,D0041,liability,deposit,deposit,unassigned,match_funded,1,1.0,-192014.94,5.3,2.28,3.02,-16.11
2025-11-21,D0042,liability,deposit,deposit,td_corp,match_funded,654,1.0,-289305.7,4.405,2.13,2.275,-11956.76
2025-11-21,D0044,liability,deposit,deposit,unassigned,match_funded,1076,1.0,-290006.47,4.1028,0.36,3.7428,-32442.29
2025-11-21,D0046,liability,deposit,deposit,unassigned,match_funded,1,1.0,-269370.21,5.3,2.3,3.0,-22.45
2025-11-21,D0047,liability,deposit,deposit,td_corp,match_funded,315,1.0,-163907.88,4.7125,2.31,2.4025,-3445.65
2025-11-21,D0049,liability,deposit,deposit,td_corp,match_funded,484,1.0,-268361.04,4.5467,2.54,2.0067,-7239.98
2025-11-21,D0050,liability,deposit,deposit,unassigned,match_funded,763,1.0,-126009.8,4.3201,3.17,1.1501,-3071.68
2025-11-21,D0051,liability,deposit,deposit,unassigned,match_funded,1,1.0,-174552.56,5.3,3.07,2.23,-10.81
2025-11-21,D0053,liability,deposit,deposit,unassigned,match_funded,1,1.0,-229815.82,5.3,1.03,4.27,-27.26
2025-11-21,D0054,liability,deposit,deposit,unassigned,match_funded,810,1.0,-226981.06,4.2875,0.42,3.8675,-19751.61
2025-11-21,D0057,liability,deposit,deposit,unassigned,match_funded,374,1.0,-240989.31,4.6383,2.66,1.9783,-4952.98
2025-11-21,D0059,liability,deposit,deposit,unassigned,match_funded,1,1.0,-187055.68,5.3,0.7,4.6,-23.9
2025-11-21,D0060,liability,deposit,deposit,unassigned,match_funded,1,1.0,-125620.72,5.3,0.79,4.51,-15.74
2025-11-21,D0061,liability,deposit,deposit,td_corp,match_funded,962,1.0,-126344.87,4.1819,3.32,0.8619,-2910.11
2025-11-21,D0063,liability,deposit,deposit,unassigned,match_funded,1,1.0,-123210.72,5.3,0.8,4.5,-15.4
2025-11-21,D0064,liability,deposit,deposit,unassigned,match_funded,552,1.0,-216943.08,4.49,3.07,1.42,-4723.57
2025-11-21,D0065,liability,deposit,deposit,unassigned,match_funded,250,1.0,-203451.33,4.8028,3.48,1.3228,-1868.9
2025-11-21,D0066,liability,deposit,deposit,unassigned,match_funded,1,1.0,-189933.75,5.3,2.41,2.89,-15.25
2025-11-21,D0067,liability,deposit,deposit,td_corp,match_funded,890,1.0,-110511.21,4.2319,0.03,4.2019,-11480.06
2025-11-21,D0068,liability,deposit,deposit,unassigned,match_funded,1,1.0,-171488.14,5.3,0.94,4.36,-20.77
2025-11-21,D0069,liability,deposit,deposit,unassigned,match_funded,567,1.0,-130962.99,4.4775,0.7,3.7775,-7791.72
2025-11-21,D0071,liability,deposit,deposit,unassigned,match_funded,1,1.0,-235181.28,5.3,2.92,2.38,-15.55
